antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Iron Bundle PAR 56'}),0.7064220183486238,0.25229357798165136,0.23853211009174313,0.33766233766233766,1.3383707201889021,1.0,0.06030637151754906,1.12889008814535,0.861177884615385,0.3312101910828026,0.11417416938889333,0.6415584415584417
frozenset({'Iron Bundle PAR 56'}),frozenset({'Fezandipiti ex SFA 38'}),0.25229357798165136,0.7064220183486238,0.23853211009174313,0.9454545454545455,1.3383707201889021,1.0,0.06030637151754906,5.382262996941906,0.33813119395941493,0.3312101910828026,0.8142045454545458,0.6415584415584417
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Lumineon V BRS 40'}),0.7064220183486238,0.2981651376146789,0.26605504587155965,0.37662337662337664,1.2631368631368631,1.0,0.05542462755660302,1.1258600917431194,0.7095905172413798,0.360248447204969,0.11179017061370006,0.6344655344655346
frozenset({'Lumineon V BRS 40'}),frozenset({'Fezandipiti ex SFA 38'}),0.2981651376146789,0.7064220183486238,0.26605504587155965,0.8923076923076924,1.2631368631368631,1.0,0.05542462755660302,2.726081258191351,0.29682217714672093,0.360248447204969,0.6331730769230771,0.6344655344655346
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Radiant Greninja ASR 46'}),0.7064220183486238,0.47706422018348627,0.41743119266055045,0.5909090909090909,1.2386363636363635,1.0,0.08042252335661981,1.2782874617737003,0.65625,0.5449101796407186,0.21770334928229668,0.7329545454545454
frozenset({'Radiant Greninja ASR 46'}),frozenset({'Fezandipiti ex SFA 38'}),0.47706422018348627,0.7064220183486238,0.41743119266055045,0.8749999999999999,1.2386363636363635,1.0,0.08042252335661981,2.348623853211007,0.368421052631579,0.5449101796407186,0.5742187499999997,0.7329545454545454
frozenset({'Fezandipiti ex SFA 38'}),frozenset({'Squawkabilly ex PAL 169'}),0.7064220183486238,0.3623853211009174,0.3394495412844037,0.48051948051948057,1.3259904652309717,1.0,0.08345257133237943,1.227408256880734,0.8374155405405405,0.4654088050314466,0.18527515649817816,0.7086141706394872
frozenset({'Squawkabilly ex PAL 169'}),frozenset({'Fezandipiti ex SFA 38'}),0.3623853211009174,0.7064220183486238,0.3394495412844037,0.9367088607594938,1.3259904652309717,1.0,0.08345257133237943,4.638532110091751,0.38557262298269485,0.4654088050314466,0.7844145569620257,0.7086141706394872
frozenset({'Radiant Greninja ASR 46'}),frozenset({'Squawkabilly ex PAL 169'}),0.47706422018348627,0.3623853211009174,0.21100917431192662,0.4423076923076923,1.220545277507303,1.0,0.038128103694975185,1.1433090794052516,0.34553775743707105,0.3357664233576643,0.12534587714443826,0.5122930866601753
frozenset({'Squawkabilly ex PAL 169'}),frozenset({'Radiant Greninja ASR 46'}),0.3623853211009174,0.47706422018348627,0.21100917431192662,0.5822784810126582,1.2205452775073027,1.0,0.038128103694975185,1.2518765638031693,0.28339067876133883,0.3357664233576643,0.20119920053297796,0.5122930866601753
"frozenset({'Fezandipiti ex SFA 38', 'Squawkabilly ex PAL 169'})",frozenset({'Radiant Greninja ASR 46'}),0.3394495412844037,0.47706422018348627,0.21100917431192662,0.6216216216216216,1.303014553014553,1.0,0.049069943607440436,1.3820445609436434,0.35205314009661826,0.34848484848484856,0.2764343290659079,0.531964656964657
"frozenset({'Fezandipiti ex SFA 38', 'Radiant Greninja ASR 46'})",frozenset({'Squawkabilly ex PAL 169'}),0.41743119266055045,0.3623853211009174,0.21100917431192662,0.5054945054945055,1.3949088885797747,1.0,0.05973823752209412,1.2893985728848114,0.485963711057857,0.37096774193548393,0.2244446201280733,0.5438864932535818
"frozenset({'Radiant Greninja ASR 46', 'Squawkabilly ex PAL 169'})",frozenset({'Fezandipiti ex SFA 38'}),0.21100917431192662,0.7064220183486238,0.21100917431192662,1.0,1.4155844155844157,1.0,0.061947647504418835,inf,0.372093023255814,0.29870129870129875,1.0,0.6493506493506493
frozenset({'Fezandipiti ex SFA 38'}),"frozenset({'Radiant Greninja ASR 46', 'Squawkabilly ex PAL 169'})",0.7064220183486238,0.21100917431192662,0.21100917431192662,0.29870129870129875,1.4155844155844157,1.0,0.061947647504418835,1.1250424736663267,1.0000000000000002,0.29870129870129875,0.11114466928420422,0.6493506493506493
frozenset({'Squawkabilly ex PAL 169'}),"frozenset({'Fezandipiti ex SFA 38', 'Radiant Greninja ASR 46'})",0.3623853211009174,0.41743119266055045,0.21100917431192662,0.5822784810126582,1.3949088885797747,1.0,0.05973823752209412,1.3946344175701972,0.4440100093837974,0.37096774193548393,0.28296621150204326,0.5438864932535818
frozenset({'Radiant Greninja ASR 46'}),"frozenset({'Fezandipiti ex SFA 38', 'Squawkabilly ex PAL 169'})",0.47706422018348627,0.3394495412844037,0.21100917431192662,0.4423076923076923,1.303014553014553,1.0,0.049069943607440436,1.1844353052831382,0.4446987032799388,0.34848484848484856,0.1557158119658119,0.531964656964657
